Tekmvanje,Država,Tekmovalec
JBMO,Kazakhstan,Zimanov Temirkhan
JBMO,Serbia,Marko Medvedev
JBMO,Bosnia and Herzegovina,Tijana BabiÄ
JBMO,Türkiye,Mustafa Emir Ãelebi
JBMO,Bulgaria,Borislav Kaloyanov Antov
JBMO,Bulgaria,Dimitar Lyubomirov Lyubenov
JBMO,France,Alexandre Thiault
JBMO,Bulgaria,Ivan-Aleksandar Veselinov Mavrov
JBMO,Saudi Arabia,Amal Mohammed Meer
JBMO,France,Ilyes Hamdi
JBMO,Bulgaria,Ilia Lazarov Bozhinov
JBMO,Saudi Arabia,Joud Tofiq Saleh
JBMO,Azerbaijan,Anar Huseynov
JBMO,Serbia,Danica ZeÄeviÄ
JBMO,North Macedonia,Mimi Filova
JBMO,Montenegro,Marija DoÅ¡ljak
JBMO,Albania,Enes Kristo
JBMO,Kazakhstan,Okas Alikhan
JBMO,Kazakhstan,Zhangbyrbayev Yessenaly
JBMO,Saudi Arabia,Ibrahimmuwffiqa Bughararh
JBMO,Greece,Tomaras Konstantinos
JBMO,Moldova,Don Otilia
JBMO,Saudi Arabia,Aous Abdulhafeedh Khan
JBMO,Greece,Koutsogeorgos Parmenion
JBMO,Tajikistan,Alisher Rogov
JBMO,Tajikistan,Sakhizhoni Narzullozoda
JBMO,Bulgaria,Boris Aleksandrov Barbov
JBMO,Azerbaijan,Mirali Ahmadli
JBMO,Greece,Chantzaras Panagiotis
JBMO,North Macedonia,Anastasija Trajanova
JBMO,Kazakhstan,Latysheva Alexandra
JBMO,Serbia,Aleksa MilojeviÄ
JBMO,Moldova,Paraschiv Daniel-Nicolae
JBMO,Cyprus,Angelos Assos
JBMO,North Macedonia,Nikola Danevski
JBMO,Tajikistan,Alijon Avliyoqulov
JBMO,Moldova,ViÈanu Cristian
JBMO,Tajikistan,Muhammadjon Boboev
JBMO,Moldova,Solovei Chiril
JBMO,Montenegro,Pavle KovaÄeviÄ
JBMO,Moldova,SÃ®rbu Alexandra
JBMO,Tajikistan,Muhammadjoni Abdughani
JBMO,North Macedonia,Teodora Pecakovska
JBMO,Albania,Joan Bushi
JBMO,Azerbaijan,Haji-zada Javid
JBMO,Cyprus,Rafail Dimitriou
JBMO,Iran,Yasamin Jalalian
JBMO,North Macedonia,Viktorija Kostova
JBMO,Cyprus,Anna Economou
JBMO,North Macedonia,Ljubica Filipova
JBMO,North Macedonia,Filip Mihov
JBMO,Bosnia and Herzegovina,Milica ÄokiÄ
JBMO,Bosnia and Herzegovina,Stefan JuroÅ¡eviÄ
JBMO,Cyprus,Andreas Hadjileonidas
JBMO,France,Pierre-Alexandre Bazin
JBMO,Albania,Esra Mati
JBMO,Cyprus,Andrea Christodoulou
JBMO,North Macedonia,Milan Samardjiski
JBMO,Cyprus,Maria Olymbia Tsianni
JBMO,Iran,Rozhin Hezaveh
JBMO,Azerbaijan,Samir Novruzov
JBMO,Iran,Zahra Meemanatabadi
JBMO,Iran,Reyhaneh Hadi
JBMO,Greece,Michalakis Vaios - Rafail
JBMO,North Macedonia,Slavcho Premceski
JBMO,Iran,Kamandsadat Abdolhosseini
JBMO,North Macedonia,Marija Bogoeva
JBMO,North Macedonia,Gjorgji Kocevski
JBMO,Moldova,Tontici Sabina
JBMO,Albania,Gisela Hoxha
JBMO,Albania,Rei Myderrizi
JBMO,Bosnia and Herzegovina,Marija ÄuriÄ
JBMO,Albania,Tenela Cepele
JBMO,Azerbaijan,Aliaga Aliyev
JBMO,Montenegro,Ognjen ÄukoviÄ
JBMO,North Macedonia,Mile Maliminov
JBMO,Iran,Armita Kazeminajafabadi
JBMO,Türkiye,Zehra Erdem
JBMO,Türkiye,Mehmet Ali Yıldırım
JBMO,Saudi Arabia,Renad Abualjamal
JBMO,Bulgaria,Ivan-Aleksandar Mavrov
JBMO,Romania,Theodor-Mihai Iliant
JBMO,Greece,Lolas Dimitrios
JBMO,Greece,Tsiamis Rafail
JBMO,Bulgaria,Evgeni Kayryakov
JBMO,Bulgaria,Borislav Antov
JBMO,Romania,Stefan-Razvan Balauca
JBMO,Serbia,Ivan PeÅ¡ić
JBMO,Türkiye,Halil Alperen GÃ¶zeten
JBMO,Saudi Arabia,Mohammed Al Ansari
JBMO,Montenegro,Majda Å ukurica
JBMO,Kazakhstan,Aruzhan Amanbayeva
JBMO,Romania,Ioan Andrei Nicolae
JBMO,Serbia,Pavle Martinović
JBMO,Türkiye,Hakan Karakuş
JBMO,Romania,Lenca-Iarina Cuturela
JBMO,Cyprus,Angelos Assos
JBMO,Romania,Alexandra Timofte
JBMO,Kazakhstan,Almas Oral
JBMO,Turkmenistan,Jepbar Asgarov
JBMO,Romania,Ioan-Paul-Petru Tirlisan
JBMO,Tajikistan,Abubakr Usmanov
JBMO,Serbia,Irina Đanković
JBMO,Türkiye,Halil Ãzkan
JBMO,Azerbaijan,Mirali Ahmadli
JBMO,Cyprus,Maria Olymbia Tsianni
JBMO,Serbia,Srđan Kuzmanović
JBMO,Azerbaijan,Anar Huseynov
JBMO,Moldova,Rudi Alexandru
JBMO,Serbia - B,Lazar Korsić
JBMO,Bulgaria,Boris Barbov
JBMO,Moldova,Șarpe Tudor
JBMO,Serbia,Aleksandar Milosavljević
JBMO,Azerbaijan,Mehdi Aghakishiyev
JBMO,France,Yakob Kahane
JBMO,Kazakhstan,Amir Mokhammed-Ali
JBMO,Kazakhstan,Sultanbek Aitzhanov
JBMO,Turkmenistan,Rahman Agamyradov
JBMO,France,Romain Caplier
JBMO,Turkmenistan,Resul Mamiyev
JBMO,Bulgaria,Kiril Bangachev
JBMO,Serbia,Aleksa Milojević
JBMO,Azerbaijan,Anar Abbasli
JBMO,Serbia - B,VukaÅ¡in Mihajlović
JBMO,Türkiye,Ozan Kaymak
JBMO,Saudi Arabia,Omar Shaikh Omar
JBMO,Bosnia and Herzegovina,Aleksa Račić
JBMO,North Macedonia,Milan Samardjiski
JBMO,Serbia - B,Bogdan Raonić
JBMO,North Macedonia,Nadezhda Ilieva
JBMO,Saudi Arabia,Asaad Mohammedsaleh
JBMO,Tajikistan,Mekhron Bobokhonov
JBMO,Albania,Safet Hoxha
JBMO,Bosnia and Herzegovina,Boris VelaÅ¡ević
JBMO,Bosnia and Herzegovina,DuÅ¡an Garić
JBMO,Bulgaria,Kristyan Vasilev
JBMO,Greece,Michalakis Vaios Rafail
JBMO,Moldova,Cojocaru Gabriel
JBMO,Moldova,Don Otilia
JBMO,Moldova,Lavric Mihail
JBMO,France,Thomas Fusellier
JBMO,Serbia - B,Mateja Zdravković
JBMO,Greece,Tsatalmpasidis Oresths
JBMO,Cyprus,Rafail Dimitriou
JBMO,France,Pierre-Alexandre Bazin
JBMO,France,Juraj Rosinsky
JBMO,Kazakhstan,Tokmyrza Kakenov
JBMO,Kazakhstan,Pak Artur Pak
JBMO,Saudi Arabia,Zeyad Aljaali
JBMO,Saudi Arabia,Abdulhamid Aldoobi
JBMO,Serbia - B,Jovan Toromanović
JBMO,Tajikistan,Sunatullo Rakhmatov
JBMO,Tajikistan,Azizdzhon Ismatov
JBMO,Albania,Lorenc Bushi
JBMO,Albania,Eglis Balani
JBMO,Greece,Papasotiriou Sotirios
JBMO,Greece,Prodromidis Kyprianos Iason
JBMO,Moldova,Ciumeico Alic
JBMO,Azerbaijan,Emil Gasimov
JBMO,Serbia - B,Marina Vasiljević
JBMO,Turkmenistan,Guvanch Besherov
JBMO,Albania,Enea Prifti
JBMO,Albania,Fridi Shehaj
JBMO,Turkmenistan,Agamyrat Begenjov
JBMO,Cyprus,Nicolas Matheou
JBMO,North Macedonia,Mimi Filova
JBMO,North Macedonia,Marija Bogoeva
JBMO,Montenegro,NataÅ¡a Đačić
JBMO,Azerbaijan,Aghaali Zeynalli
JBMO,Bosnia and Herzegovina,Nevena RadeÅ¡ić
JBMO,North Macedonia,Teodora Pecakovska
JBMO,Bosnia and Herzegovina,MaÅ¡a Maksimović
JBMO,North Macedonia,Kalina Stefanova
JBMO,Kyrgyzstan,Dastan Kudaiberdiev
JBMO,Bosnia and Herzegovina,Damjan Stanković
JBMO,Cyprus,Eirini Ioannou
JBMO,Albania,Era LiÃ§aj
JBMO,France,Jean Zablocki
JBMO,Kyrgyzstan,Akzhol Baktybai Uulu
JBMO,Kyrgyzstan,Rinat Kalybek Uulu
JBMO,Kyrgyzstan,Nuretdin Tariel Uulu
JBMO,Cyprus,Giannis Georgiadis
JBMO,Turkmenistan,Begench Nobatov
JBMO,Türkiye,Ozan Kaymak
JBMO,Bulgaria,Evgeni Kayryakov
JBMO,Greece,Dimitrios Lolas
JBMO,Philippines,Andres Rico Iii M. Gonzales
JBMO,Türkiye,Mustafa Emir Çelebi
JBMO,Türkiye,İbrahim Suat Evren
JBMO,Serbia,Jelena Ivančić
JBMO,Romania,Denis Chiriță
JBMO,Romania,George Adrian Picu
JBMO,Tajikistan,Sunatullo Rakhmatov
JBMO,Indonesia,Dick Jessen William
JBMO,Kazakhstan,Rakhman Asmatullayev
JBMO,Romania,Edis Memiș
JBMO,Romania,Alexandra Timofte
JBMO,Romania,Ioan - Andrei Nicolae
JBMO,Serbia,Irina Djankovic
JBMO,Serbia,Jovan Toromanović
JBMO,Türkiye,Ömer Topaloğlu
JBMO,Saudi Arabia,Mohammedsaleh Asaad
JBMO,Romania - B,Sebastian Mihai Șimon
JBMO,Türkiye,Kerem Recep Gür
JBMO,Bulgaria,Viktor Baltin
JBMO,Romania - B,Vlad Nicolae Robu
JBMO,Bulgaria,Ivo Petrov
JBMO,Romania - B,Paul Becsi
JBMO,France,Baptiste Serraille
JBMO,Philippines,Ryan Mark L. Shao
JBMO,Romania,Nguyen Tran Bach
JBMO,Bulgaria,Cuong Viet Do
JBMO,Serbia,Miloš Milićev
JBMO,Azerbaijan,Aghaali Zeynalli
JBMO,Kazakhstan,Alua Shyntay
JBMO,Tajikistan,Shukrona Kholova
JBMO,Kazakhstan,Aibar Oshakbayev
JBMO,Moldova,Mihail Lavric
JBMO,Serbia,Ilja Uzelac Bujisic
JBMO,Greece,Eirini Miliori
JBMO,Serbia,Vukašin Mihajlović
JBMO,Azerbaijan,Murad Aghayev
JBMO,Romania - B,Amina Abu - Shanab
JBMO,Philippines,Stefan Marcus A. Ong
JBMO,Indonesia,Leonardo Irvin Pratama
JBMO,Philippines,Dion Stephan J. Ong
JBMO,Kazakhstan,Alexey Tsekhovoy
JBMO,Philippines,Steven T. Reyes
JBMO,Kazakhstan,Shyngys Bilyalov
JBMO,Romania - B,Ileana Dima
JBMO,Indonesia,Alfian Edgar Tjandra
