Leto,Kraj,Gostiteljica,Ime,Priimek,Država,Mesto,Medalja,Skupno,Točke
1960,Sinaia,Romania,Ferenc,Mezei,Hungary,1,G,43,"[None, None, None, None, None, None, None]"
1960,Sinaia,Romania,Béla,Bollobás,Hungary,3,G,41,"[None, None, None, None, None, None, None]"
1960,Sinaia,Romania,Cezar,Gheorghe,Romania,3,G,41,"[None, None, None, None, None, None, None]"
1960,Sinaia,Romania,Nicolae,Popa,Romania,5,S,39,"[None, None, None, None, None, None, None]"
1960,Sinaia,Romania,György,Muszély,Hungary,6,S,38,"[None, None, None, None, None, None, None]"
1960,Sinaia,Romania,Jiří,Souček,Czechoslovakia,7,S,37,"[None, None, None, None, None, None, None]"
1960,Sinaia,Romania,József,Fritz,Hungary,7,S,37,"[None, None, None, None, None, None, None]"
1960,Sinaia,Romania,Petr,Petrov,Bulgaria,9,B,35,"['8', '6', '6', '5', '5', '1', '4']"
1960,Sinaia,Romania,Petr,Tomšů,Czechoslovakia,10,B,34,"[None, None, None, None, None, None, None]"
1960,Sinaia,Romania,Şerban,Strătilă,Romania,10,B,34,"[None, None, None, None, None, None, None]"
1960,Sinaia,Romania,Jan,Veselý,Czechoslovakia,12,B,33,"[None, None, None, None, None, None, None]"
1960,Sinaia,Romania,Ladislav,Baran,Czechoslovakia,13,HM,32,"[None, None, None, None, None, None, None]"
1960,Sinaia,Romania,Pavel,Nosek,Czechoslovakia,13,HM,32,"[None, None, None, None, None, None, None]"
1960,Sinaia,Romania,Todor,Bojanov,Bulgaria,15,HM,31,"['6', '1', '0', '5', '7', '7', '5']"
1960,Sinaia,Romania,Basarab,Nicolescu,Romania,16,HM,30,"[None, None, None, None, None, None, None]"
1960,Sinaia,Romania,Panaiot,Vlaev,Bulgaria,17,HM,29,"['2', '5', '6', '5', '0', '6', '5']"
1960,Sinaia,Romania,János,Komlós,Hungary,17,HM,29,"[None, None, None, None, None, None, None]"
1960,Sinaia,Romania,Stamen,Chakrov,Bulgaria,19,,28,"['8', '6', '0', '4', '4', '1', '5']"
1960,Sinaia,Romania,,,Romania,19,,28,"[None, None, None, None, None, None, None]"
1960,Sinaia,Romania,,,Romania,21,,27,"[None, None, None, None, None, None, None]"
1960,Sinaia,Romania,,,Romania,22,,26,"[None, None, None, None, None, None, None]"
1960,Sinaia,Romania,,,Czechoslovakia,23,,24,"[None, None, None, None, None, None, None]"
1960,Sinaia,Romania,,,Romania,24,,23,"[None, None, None, None, None, None, None]"
1960,Sinaia,Romania,Nikola,Arbov,Bulgaria,25,,22,"['8', '2', '0', '5', '1', '1', '5']"
1960,Sinaia,Romania,,,Czechoslovakia,25,,22,"[None, None, None, None, None, None, None]"
1960,Sinaia,Romania,András,Gagyi Pálffy,Hungary,27,,21,"[None, None, None, None, None, None, None]"
1960,Sinaia,Romania,György,Grűner,Hungary,27,,21,"[None, None, None, None, None, None, None]"
1960,Sinaia,Romania,János,Hahn,Hungary,29,,18,"[None, None, None, None, None, None, None]"
1960,Sinaia,Romania,Klaus,Walter,German Democratic Republic,30,HM,16,"[None, None, None, None, None, None, None]"
1960,Sinaia,Romania,Krasimir,Trkalanov,Bulgaria,31,,14,"['6', '0', '0', '5', '0', '1', '2']"
1960,Sinaia,Romania,Breizitsa,Popova,Bulgaria,32,,10,"['0', '3', '0', '5', '0', '0', '2']"
1960,Sinaia,Romania,Bernd,Scholz,German Democratic Republic,32,,10,"[None, None, None, None, None, None, None]"
1960,Sinaia,Romania,Georgi,Demirev,Bulgaria,34,,6,"['0', '3', '0', '2', '1', '0', '0']"
1960,Sinaia,Romania,Dietmar,Peip,German Democratic Republic,34,,6,"[None, None, None, None, None, None, None]"
1960,Sinaia,Romania,Dietmar,Rahner,German Democratic Republic,36,,4,"[None, None, None, None, None, None, None]"
1960,Sinaia,Romania,Horst,Ernst,German Democratic Republic,37,,2,"[None, None, None, None, None, None, None]"
1960,Sinaia,Romania,Jürgen,Streu,German Democratic Republic,38,,0,"['0', '0', '0', '0', '0', '0', '0']"
1960,Sinaia,Romania,Frank,Wunderlich,German Democratic Republic,38,,0,"['0', '0', '0', '0', '0', '0', '0']"
1961,Veszprém,Hungary,Béla,Bollobás,Hungary,1,G,40,"['6', '7', '7', '6', '7', '7']"
1961,Veszprém,Hungary,Maciej,Skwarczyński,Poland,2,G,39,"[None, None, None, None, None, None]"
1961,Veszprém,Hungary,József,Kóta,Hungary,3,G,37,"[None, None, None, None, None, None]"
1961,Veszprém,Hungary,Gerzson,Kéry,Hungary,4,S,36,"[None, None, None, None, None, None]"
1961,Veszprém,Hungary,István,Juhász,Hungary,5,S,34,"[None, None, None, None, None, None]"
1961,Veszprém,Hungary,Miklós,Simonovits,Hungary,5,S,34,"[None, None, None, None, None, None]"
1961,Veszprém,Hungary,Constantin,Năstăsescu,Romania,5,S,34,"[None, None, None, None, None, None]"
1961,Veszprém,Hungary,Tomáš,Jech,Czechoslovakia,8,B,33,"[None, None, None, None, None, None]"
1961,Veszprém,Hungary,László,Gálfi,Hungary,8,B,33,"[None, None, None, None, None, None]"
1961,Veszprém,Hungary,Thomas,Görnitz,German Democratic Republic,10,B,31,"[None, None, None, None, None, None]"
1961,Veszprém,Hungary,Tudor,Zamifrescu,Romania,11,B,30,"[None, None, None, None, None, None]"
1961,Veszprém,Hungary,László,Góth,Hungary,12,HM,29,"[None, None, None, None, None, None]"
1961,Veszprém,Hungary,Marcin,Kuczma,Poland,12,HM,29,"[None, None, None, None, None, None]"
1961,Veszprém,Hungary,Marian,Osiewicz,Poland,12,HM,29,"[None, None, None, None, None, None]"
1961,Veszprém,Hungary,Atanas,Atanasov,Bulgaria,15,HM,28,"['5', '7', '6', '6', '4', '0']"
1961,Veszprém,Hungary,Nicolae,Popa,Romania,15,HM,28,"[None, None, None, None, None, None]"
1961,Veszprém,Hungary,József,Fritz,Hungary,17,HM,27,"[None, None, None, None, None, None]"
1961,Veszprém,Hungary,Şerban,Strătilă,Romania,17,HM,27,"[None, None, None, None, None, None]"
1961,Veszprém,Hungary,Aleksandru,Buimovici,Romania,19,HM,26,"[None, None, None, None, None, None]"
1961,Veszprém,Hungary,Radu,Diaconescu,Romania,19,HM,26,"[None, None, None, None, None, None]"
1961,Veszprém,Hungary,,,Czechoslovakia,21,HM,25,"[None, None, None, None, None, None]"
1961,Veszprém,Hungary,,,Czechoslovakia,22,HM,24,"[None, None, None, None, None, None]"
1961,Veszprém,Hungary,Jerzy,Jurkiewicz,Poland,22,HM,24,"[None, None, None, None, None, None]"
1961,Veszprém,Hungary,Heike,Wenzel,German Democratic Republic,24,HM,23,"[None, None, None, None, None, None]"
1961,Veszprém,Hungary,Mikołaj,Jagiełka,Poland,24,HM,23,"[None, None, None, None, None, None]"
1961,Veszprém,Hungary,Andrzej,Skowron,Poland,24,HM,23,"[None, None, None, None, None, None]"
1961,Veszprém,Hungary,Mary,Schleifstein,German Democratic Republic,27,HM,22,"[None, None, None, None, None, None]"
1961,Veszprém,Hungary,,,Czechoslovakia,28,HM,21,"[None, None, None, None, None, None]"
1961,Veszprém,Hungary,Gerd,Naß,German Democratic Republic,29,HM,20,"[None, None, None, None, None, None]"
1961,Veszprém,Hungary,Andrzej,Jeśmanowicz,Poland,29,HM,20,"[None, None, None, None, None, None]"
1961,Veszprém,Hungary,Atanaska,Stoianova,Bulgaria,31,,18,"['2', '7', '0', '0', '4', '5']"
1961,Veszprém,Hungary,,,Czechoslovakia,32,,16,"[None, None, None, None, None, None]"
1961,Veszprém,Hungary,Stanisław,Spież,Poland,32,,16,"[None, None, None, None, None, None]"
1961,Veszprém,Hungary,Kamen,Koev,Bulgaria,34,,15,"['4', '5', '4', '2', '0', '0']"
1961,Veszprém,Hungary,,,Czechoslovakia,34,,15,"[None, None, None, None, None, None]"
1961,Veszprém,Hungary,Rumen,Maleev,Bulgaria,36,,14,"['5', '2', '0', '2', '5', '0']"
1961,Veszprém,Hungary,Rumiana,Proikova,Bulgaria,36,,14,"['4', '0', '1', '6', '3', '0']"
1961,Veszprém,Hungary,Gernot,Krabbes,German Democratic Republic,36,,14,"[None, None, None, None, None, None]"
1961,Veszprém,Hungary,,,Romania,36,,14,"[None, None, None, None, None, None]"
1961,Veszprém,Hungary,Nikolai,Budakov,Bulgaria,40,,13,"['3', '0', '5', '0', '4', '1']"
1961,Veszprém,Hungary,,,Czechoslovakia,40,,13,"[None, None, None, None, None, None]"
1961,Veszprém,Hungary,Peter,Bachmann,German Democratic Republic,40,,13,"[None, None, None, None, None, None]"
1961,Veszprém,Hungary,,,Czechoslovakia,43,,12,"[None, None, None, None, None, None]"
1961,Veszprém,Hungary,Klaus,Zipperer,German Democratic Republic,43,,12,"[None, None, None, None, None, None]"
1961,Veszprém,Hungary,,,Romania,43,,12,"[None, None, None, None, None, None]"
1961,Veszprém,Hungary,Steffen,Oelsner,German Democratic Republic,46,,11,"[None, None, None, None, None, None]"
1961,Veszprém,Hungary,Todor,Bulev,Bulgaria,47,,4,"['0', '0', '0', '0', '0', '4']"
1961,Veszprém,Hungary,Milka,Popova,Bulgaria,48,,2,"['0', '0', '0', '2', '0', '0']"
1962,České Budějovice,Czechoslovakia,Iosif,Bernstein,Union of Soviet Socialist Republics,1,G,46,"['6', '6', '8', '5', '7', '6', '8']"
1962,České Budějovice,Czechoslovakia,Gerzson,Kéry,Hungary,2,G,45,"[None, None, None, None, None, None, None]"
1962,České Budějovice,Czechoslovakia,Lidia,Goncarova,Union of Soviet Socialist Republics,3,G,42,"[None, None, None, None, None, None, None]"
1962,České Budějovice,Czechoslovakia,Zoltán,Sebestyén,Hungary,4,G,41,"[None, None, None, None, None, None, None]"
1962,České Budějovice,Czechoslovakia,László,Gálfi,Hungary,5,S,39,"[None, None, None, None, None, None, None]"
1962,České Budějovice,Czechoslovakia,József,Kóta,Hungary,5,S,39,"[None, None, None, None, None, None, None]"
1962,České Budějovice,Czechoslovakia,Marcin,Kuczma,Poland,5,S,39,"[None, None, None, None, None, None, None]"
1962,České Budějovice,Czechoslovakia,Gheorghe,Eckstein,Romania,5,S,39,"[None, None, None, None, None, None, None]"
1962,České Budějovice,Czechoslovakia,Ferenc,Szidarovszky,Hungary,9,S,38,"[None, None, None, None, None, None, None]"
1962,České Budějovice,Czechoslovakia,Aleksandru,Buimovici,Romania,9,S,38,"[None, None, None, None, None, None, None]"
1962,České Budějovice,Czechoslovakia,Bojan,Marinov Bonev,Bulgaria,11,S,37,"['6', '6', '8', '5', '7', '4', '1']"
1962,České Budějovice,Czechoslovakia,Aleksei,Potepun,Union of Soviet Socialist Republics,11,S,37,"[None, None, None, None, None, None, None]"
1962,České Budějovice,Czechoslovakia,Grigori,Margulis,Union of Soviet Socialist Republics,13,S,36,"[None, None, None, None, None, None, None]"
1962,České Budějovice,Czechoslovakia,Peter,Hatala,Czechoslovakia,14,S,35,"['6', '6', '8', '4', '7', '4', '0']"
1962,České Budějovice,Czechoslovakia,George,Lusztig,Romania,14,S,35,"[None, None, None, None, None, None, None]"
1962,České Budějovice,Czechoslovakia,Karl-Heinz,Tetsch,German Democratic Republic,16,S,34,"[None, None, None, None, None, None, None]"
1962,České Budějovice,Czechoslovakia,Miroslav Svetoslav,Tanusev,Bulgaria,17,B,33,"['6', '6', '4', '5', '6', '4', '2']"
1962,České Budějovice,Czechoslovakia,Jaroslav,Ježek,Czechoslovakia,17,B,33,"['6', '6', '8', '5', '4', '4', '0']"
1962,České Budějovice,Czechoslovakia,Jacek,Wołejszo,Poland,17,B,33,"[None, None, None, None, None, None, None]"
1962,České Budějovice,Czechoslovakia,Bozidar,Dimitrov Kacarov,Bulgaria,20,B,32,"['6', '1', '4', '5', '7', '4', '5']"
1962,České Budějovice,Czechoslovakia,András,Benczúr,Hungary,20,B,32,"[None, None, None, None, None, None, None]"
1962,České Budějovice,Czechoslovakia,Miklós,Simonovits,Hungary,20,B,32,"[None, None, None, None, None, None, None]"
1962,České Budějovice,Czechoslovakia,Jan,Rempała,Poland,20,B,32,"[None, None, None, None, None, None, None]"
1962,České Budějovice,Czechoslovakia,Lucian,Bădescu,Romania,20,B,32,"[None, None, None, None, None, None, None]"
1962,České Budějovice,Czechoslovakia,Florea,Hantila,Romania,20,B,32,"[None, None, None, None, None, None, None]"
1962,České Budějovice,Czechoslovakia,Genadi,Kuranov,Union of Soviet Socialist Republics,26,B,31,"[None, None, None, None, None, None, None]"
1962,České Budějovice,Czechoslovakia,Josef,Daneš,Czechoslovakia,27,B,30,"['6', '6', '8', '4', '0', '0', '6']"
1962,České Budějovice,Czechoslovakia,Ewa,Hensz,Poland,27,B,30,"[None, None, None, None, None, None, None]"
1962,České Budějovice,Czechoslovakia,Radu,Puha,Romania,27,B,30,"[None, None, None, None, None, None, None]"
1962,České Budějovice,Czechoslovakia,Daniar,Mustari,Union of Soviet Socialist Republics,27,B,30,"[None, None, None, None, None, None, None]"
1962,České Budějovice,Czechoslovakia,Karel,Veselý,Czechoslovakia,31,B,29,"['2', '6', '7', '5', '6', '2', '1']"
1962,České Budějovice,Czechoslovakia,Jan,Żytkow,Poland,32,,28,"[None, None, None, None, None, None, None]"
1962,České Budějovice,Czechoslovakia,,,Romania,32,,28,"[None, None, None, None, None, None, None]"
1962,České Budějovice,Czechoslovakia,Nikola,Vedelev,Bulgaria,34,,26,"['6', '3', '0', '5', '7', '4', '1']"
1962,České Budějovice,Czechoslovakia,Milena,Ivanova,Bulgaria,35,,25,"['6', '3', '0', '4', '7', '5', '0']"
1962,České Budějovice,Czechoslovakia,Jan,Novotný,Czechoslovakia,36,,23,"['6', '4', '7', '2', '4', '0', '0']"
1962,České Budějovice,Czechoslovakia,Pavol,Voda,Czechoslovakia,36,,23,"['5', '5', '8', '5', '0', '0', '0']"
1962,České Budějovice,Czechoslovakia,András,Gyárfás,Hungary,36,,23,"[None, None, None, None, None, None, None]"
1962,České Budějovice,Czechoslovakia,,,Romania,36,,23,"[None, None, None, None, None, None, None]"
1962,České Budějovice,Czechoslovakia,Aleksander,Shermenev,Union of Soviet Socialist Republics,40,,22,"[None, None, None, None, None, None, None]"
1962,České Budějovice,Czechoslovakia,Reinhard,Bölling,German Democratic Republic,41,,21,"[None, None, None, None, None, None, None]"
1962,České Budějovice,Czechoslovakia,Katharina,Görke,German Democratic Republic,41,,21,"[None, None, None, None, None, None, None]"
1962,České Budějovice,Czechoslovakia,Claus,Michel,German Democratic Republic,41,,21,"[None, None, None, None, None, None, None]"
1962,České Budějovice,Czechoslovakia,Marián,Mešina,Czechoslovakia,44,,20,"['1', '4', '6', '4', '5', '0', '0']"
1962,České Budějovice,Czechoslovakia,Paweł,Gabryjańczyk,Poland,44,,20,"[None, None, None, None, None, None, None]"
1962,České Budějovice,Czechoslovakia,Svatopluk,Fučík,Czechoslovakia,46,,19,"['6', '5', '3', '1', '4', '0', '0']"
1962,České Budějovice,Czechoslovakia,Evgeniy,Pankratiev,Union of Soviet Socialist Republics,46,,19,"[None, None, None, None, None, None, None]"
1962,České Budějovice,Czechoslovakia,Walter,Görgens,German Democratic Republic,48,,18,"[None, None, None, None, None, None, None]"
1962,České Budějovice,Czechoslovakia,Wolfgang,Lehmann,German Democratic Republic,48,,18,"[None, None, None, None, None, None, None]"
1962,České Budějovice,Czechoslovakia,Paweł,Urbański,Poland,48,,18,"[None, None, None, None, None, None, None]"
1962,České Budějovice,Czechoslovakia,Dimco,Dimitrov,Bulgaria,51,,15,"['6', '5', '0', '2', '0', '0', '2']"
1962,České Budějovice,Czechoslovakia,Dimitr,Kasabov,Bulgaria,51,,15,"['6', '3', '4', '2', '0', '0', '0']"
1962,České Budějovice,Czechoslovakia,Friedrich,Golze,German Democratic Republic,53,,14,"[None, None, None, None, None, None, None]"
1962,České Budějovice,Czechoslovakia,Garabed,Minasiev,Bulgaria,54,,13,"['6', '2', '0', '4', '0', '1', '0']"
1962,České Budějovice,Czechoslovakia,Jerzy,Sztachelski,Poland,55,,11,"[None, None, None, None, None, None, None]"
1962,České Budějovice,Czechoslovakia,Stefan,Weller,German Democratic Republic,56,,6,"[None, None, None, None, None, None, None]"
1963,Wrocław,Poland,Genadiy,Maloletkin,Union of Soviet Socialist Republics,1,G,39,"[None, None, None, None, None, None]"
1963,Wrocław,Poland,Rafael,Sarkisyan,Union of Soviet Socialist Republics,1,G,39,"[None, None, None, None, None, None]"
1963,Wrocław,Poland,Franc,Dacar,Yugoslavia,1,G,39,"[None, None, None, None, None, None]"
1963,Wrocław,Poland,Aleksei,Tolpygo,Union of Soviet Socialist Republics,4,G,38,"[None, None, None, None, None, None]"
1963,Wrocław,Poland,László,Zsidó,Romania,5,G,37,"[None, None, None, None, None, None]"
1963,Wrocław,Poland,Josef,Daneš,Czechoslovakia,6,G,35,"['6', '7', '5', '5', '6', '6']"
1963,Wrocław,Poland,Anatoli,Zaicev,Union of Soviet Socialist Republics,6,G,35,"[None, None, None, None, None, None]"
1963,Wrocław,Poland,László,Lovász,Hungary,8,S,34,"[None, None, None, None, None, None]"
1963,Wrocław,Poland,Vladimir,Fishman,Union of Soviet Socialist Republics,8,S,34,"[None, None, None, None, None, None]"
1963,Wrocław,Poland,Ferenc,Szidarovszky,Hungary,10,S,33,"[None, None, None, None, None, None]"
1963,Wrocław,Poland,László,Gerencsér,Hungary,11,S,32,"[None, None, None, None, None, None]"
1963,Wrocław,Poland,József,Pelikán,Hungary,11,S,32,"[None, None, None, None, None, None]"
1963,Wrocław,Poland,George,Lusztig,Romania,13,S,31,"[None, None, None, None, None, None]"
1963,Wrocław,Poland,Ivan,Boljevski,Yugoslavia,13,S,31,"[None, None, None, None, None, None]"
1963,Wrocław,Poland,Anatoly,Zvaignicev,Union of Soviet Socialist Republics,15,S,30,"[None, None, None, None, None, None]"
1963,Wrocław,Poland,Patrik,Fazekas,Hungary,16,S,29,"[None, None, None, None, None, None]"
1963,Wrocław,Poland,Sergei,Smirnov,Union of Soviet Socialist Republics,16,S,29,"[None, None, None, None, None, None]"
1963,Wrocław,Poland,Peter,Petek,Yugoslavia,18,S,28,"[None, None, None, None, None, None]"
1963,Wrocław,Poland,Gheorghe,Eckstein,Romania,19,B,27,"[None, None, None, None, None, None]"
1963,Wrocław,Poland,Kiril,Andreev,Union of Soviet Socialist Republics,19,B,27,"[None, None, None, None, None, None]"
1963,Wrocław,Poland,Mila,Mršević,Yugoslavia,19,B,27,"[None, None, None, None, None, None]"
1963,Wrocław,Poland,Vladimir,Zaimov,Bulgaria,22,B,26,"['6', '4', '7', '2', '0', '7']"
1963,Wrocław,Poland,Gábor,Corradi,Hungary,22,B,26,"[None, None, None, None, None, None]"
1963,Wrocław,Poland,Endre,Makai,Hungary,24,B,25,"[None, None, None, None, None, None]"
1963,Wrocław,Poland,Şerban,Grigorescu,Romania,24,B,25,"[None, None, None, None, None, None]"
1963,Wrocław,Poland,Jaroslav,Zemánek,Czechoslovakia,26,B,23,"['5', '5', '5', '0', '1', '7']"
1963,Wrocław,Poland,Rolf-Günter,Riedel,German Democratic Republic,26,B,23,"[None, None, None, None, None, None]"
1963,Wrocław,Poland,Attila,Máté,Hungary,26,B,23,"[None, None, None, None, None, None]"
1963,Wrocław,Poland,Bronisław,Wajnryb,Poland,26,B,23,"[None, None, None, None, None, None]"
1963,Wrocław,Poland,Svetoslav,Biltchev,Bulgaria,30,B,22,"['4', '1', '4', '1', '5', '7']"
1963,Wrocław,Poland,Uwe,Kühler,German Democratic Republic,30,B,22,"[None, None, None, None, None, None]"
1963,Wrocław,Poland,Georgi,Ganchev,Bulgaria,32,B,21,"['5', '1', '0', '1', '6', '8']"
1963,Wrocław,Poland,Ulrich,Schwarz,German Democratic Republic,32,B,21,"[None, None, None, None, None, None]"
1963,Wrocław,Poland,Henryk,Toruńczyk,Poland,32,B,21,"[None, None, None, None, None, None]"
1963,Wrocław,Poland,Tiberiu,Spircu,Romania,32,B,21,"[None, None, None, None, None, None]"
1963,Wrocław,Poland,,,Czechoslovakia,36,,20,"['3', '7', '1', '0', '5', '4']"
1963,Wrocław,Poland,Cezary,Ferens,Poland,36,,20,"[None, None, None, None, None, None]"
1963,Wrocław,Poland,Svetlozar,Rulinski,Bulgaria,38,,19,"['4', '2', '0', '1', '5', '7']"
1963,Wrocław,Poland,Jacek,Gancarzewicz,Poland,38,,19,"[None, None, None, None, None, None]"
1963,Wrocław,Poland,Kristofor,Kuzhuharov,Bulgaria,40,,18,"['0', '3', '7', '2', '0', '6']"
1963,Wrocław,Poland,Rolf,Thier,German Democratic Republic,40,,18,"[None, None, None, None, None, None]"
1963,Wrocław,Poland,,,Romania,40,,18,"[None, None, None, None, None, None]"
1963,Wrocław,Poland,Haim,Haimov,Bulgaria,43,,17,"['2', '1', '0', '0', '6', '8']"
1963,Wrocław,Poland,Wolfgang,Schulze,German Democratic Republic,43,,17,"[None, None, None, None, None, None]"
1963,Wrocław,Poland,Jerzy,Jurkiewicz,Poland,45,,16,"[None, None, None, None, None, None]"
1963,Wrocław,Poland,,,Romania,45,,16,"[None, None, None, None, None, None]"
1963,Wrocław,Poland,,,Romania,45,,16,"[None, None, None, None, None, None]"
1963,Wrocław,Poland,Ferenc,Kalmar,Yugoslavia,45,,16,"[None, None, None, None, None, None]"
1963,Wrocław,Poland,,,Czechoslovakia,49,,15,"['4', '3', '0', '1', '0', '7']"
1963,Wrocław,Poland,,,Czechoslovakia,49,,15,"['4', '5', '0', '3', '0', '3']"
1963,Wrocław,Poland,,,Czechoslovakia,49,,15,"['2', '3', '2', '2', '1', '5']"
1963,Wrocław,Poland,Katica,Stevanović,Yugoslavia,49,,15,"[None, None, None, None, None, None]"
1963,Wrocław,Poland,,,Czechoslovakia,53,,14,"['2', '4', '0', '2', '0', '6']"
1963,Wrocław,Poland,,,Czechoslovakia,53,,14,"['2', '5', '0', '1', '0', '6']"
1963,Wrocław,Poland,Bernd,Noack,German Democratic Republic,53,,14,"[None, None, None, None, None, None]"
1963,Wrocław,Poland,Marian,Grudnicki,Poland,53,,14,"[None, None, None, None, None, None]"
1963,Wrocław,Poland,Andrzej,Szankowski,Poland,53,,14,"[None, None, None, None, None, None]"
1963,Wrocław,Poland,Joachim,Krell,German Democratic Republic,58,,13,"[None, None, None, None, None, None]"
